permno,month,usdret,realizedvol,log_vol,debt_at,lnmcap,beta,Treated,Post,DiD
89768,2006-09,0.0308,0.0150895371297291,-4.19375368064705,0.78436005,14.464304453831552,0.7330687714810005,1,0,0
89768,2006-10,0.0496,0.01008613674771,-4.596593397248783,0.79831547,14.512697129189736,0.7337281699705627,1,0,0
89768,2006-11,0.0021,0.0122212103953974,-4.404582279783998,0.79831547,14.515289325860952,0.7259737677983639,1,0,0
89768,2006-12,-0.0572,0.0124805665732559,-4.3835825185732675,0.79831547,14.446463134931102,0.7331659107573368,1,0,0
89768,2007-01,0.0863,0.0128360363984001,-4.3554987200888045,0.8093295,14.529194532528566,0.7358788091259112,1,0,0
89768,2007-02,-0.101,0.0151504174053243,-4.18972719589974,0.8093295,14.4226826062657,0.7727654650487105,1,0,0
89768,2007-03,-0.0794,0.0173145680789253,-4.056207046346459,0.8093295,14.328805091462868,0.7951853995306957,1,0,0
89768,2007-04,0.0132,0.0140197802988829,-4.267286068048913,0.8181628,14.341935605577168,0.7929212988571231,1,0,0
89768,2007-05,0.0028,0.0157448640666152,-4.151241057898288,0.8181628,14.34500514902965,0.791225305091172,1,0,0
89768,2007-06,-0.0387,0.0173189529653003,-4.055953830025032,0.8181628,14.2939012113397,0.8104282585802128,1,0,0
89768,2007-07,-0.1666,0.0224466858069133,-3.7966123012188415,0.8057061,14.11163791093212,0.9555431529003756,1,0,0
89768,2007-08,-0.0909,0.0354026566220839,-3.3409684158366257,0.8057061,14.020863274729534,0.9947253871437108,1,0,0
89768,2007-09,0.0085,0.0262245468450471,-3.6410594043515623,0.8057061,14.013918802376724,0.9923987284038378,1,0,0
89768,2007-10,0.055,0.0220027544800977,-3.8165876298203383,0.88432974,14.067435716378228,0.99334704436538,1,0,0
89768,2007-11,-0.0723,0.032653877649705,-3.421791666155246,0.88432974,13.991802506484168,0.9856419793508804,1,0,0
89768,2007-12,0.1816,0.0353159416679597,-3.3434208116612423,0.88432974,14.145161733955115,0.9152886451294092,1,0,0
89768,2008-01,-0.0655,0.0275868680745369,-3.590415413885942,0.88730145,14.07742843050602,0.9371403634183768,1,0,0
89768,2008-02,-0.175,0.0334237780186422,-3.398487715566172,0.88730145,13.885098111259609,1.0068223818964204,1,0,0
89768,2008-03,-0.3702,0.0472259165808908,-3.052812456976331,0.88730145,13.42281111097502,1.1738039875385062,1,0,0
89768,2008-04,0.153,0.0394225812565134,-3.2334164985156653,0.8710898,13.540671789397075,1.2102232401377775,1,0,0
89768,2008-05,-0.0242,0.0317462342747698,-3.4499811661966886,0.8710898,13.532836988661217,1.1945388714065512,1,0,0
89768,2008-06,-0.2253,0.0382930311409518,-3.2624873538956125,0.8710898,13.277513443393122,1.3258671176937815,1,0,0
89768,2008-07,-0.1134,0.066702190422911,-2.7075174866760743,0.88585776,13.157159315663728,1.3452515593435035,1,0,0
89768,2008-08,0.0491,0.03603188198685,-3.323351121702014,0.88585776,13.2031495378791,1.3599679526432429,1,0,0
89768,2008-09,-0.4735,0.0769652705748322,-2.564400990369439,0.88585776,12.561648946181322,1.7625705957972553,1,1,1
89768,2008-10,-0.4044,0.1336136308676046,-2.012802995631908,0.9043102,12.043505185443044,1.8399922222242608,1,1,1
89768,2008-11,-0.4648,0.2320545783041779,-1.4607826836719662,0.9043102,11.418494998104984,2.0219774365098093,1,1,1
89768,2008-12,-0.2316,0.1840669814660869,-1.6924555579088953,0.9043102,11.155077547652834,1.921631097921369,1,1,1
89768,2009-01,0.4247,0.1969886260528764,-1.6246092876831235,0.9164699,11.509009005645815,1.9073565325255708,1,1,1
89768,2009-02,-0.2788,0.1372546653314826,-1.9859172076839826,0.9164699,11.182106220040753,1.945931175987707,1,1,1
89768,2009-04,0.5139,0.1200777275467852,-2.119616016329795,0.907525,10.864738074435053,1.7037776408222514,1,1,1
89768,2009-05,-0.0367,0.1065473040388387,-2.2391662230679086,0.907525,10.827350542363432,1.6130968319240466,1,1,1
89803,2006-01,0.1668,0.0234602670529848,-3.752447052488912,0.5738126,13.40939840056486,0.8470019853515932,1,0,0
89803,2006-02,0.0204,0.0133201672425094,-4.318476058204768,0.5738126,13.429617447618169,0.8414105212319515,1,0,0
89803,2006-03,0.0088,0.0167918199371709,-4.086863419653094,0.5738126,13.450553411073068,0.8318656740999022,1,0,0
89803,2006-04,-0.0613,0.0145351471421669,-4.2311856217224415,0.61304885,13.387304380765368,0.8489604079597601,1,0,0
89803,2006-05,0.0266,0.0231567121469501,-3.765470598921903,0.61304885,13.425696234876762,0.7576575051078149,1,0,0
89803,2006-06,0.0728,0.0135167542065105,-4.303825310672522,0.61304885,13.480247813612309,0.7141283265301042,1,0,0
89803,2006-07,-0.0689,0.0169021162620013,-4.080316442289178,0.5064623,13.625361344848685,0.7613450084610202,1,0,0
89803,2006-08,0.0187,0.016793053224497,-4.086789976628865,0.5064623,13.671287169120808,0.7608452774286987,1,0,0
89803,2006-09,0.0134,0.0131736471330775,-4.32953687422351,0.5064623,13.66793988566075,0.7602155269035944,1,0,0
89803,2006-10,0.0796,0.0152443823897107,-4.1835442116806565,0.53306156,13.744559370227131,0.7850785796645371,1,0,0
89803,2006-11,0.0186,0.0195471498897994,-3.934925788866539,0.53306156,13.77157137672845,0.7825661611703648,1,0,0
89803,2006-12,-0.0358,0.0130566260390532,-4.338459531614836,0.53306156,13.719154216123226,0.7853153095425504,1,0,0
89803,2007-01,-0.0112,0.0120831526693814,-4.415943137960808,0.4502496,13.707845533408872,0.7826190747994304,1,0,0
89803,2007-02,0.0073,0.0150500401225398,-4.196374621841318,0.4502496,13.7151300658235,0.7812145989744423,1,0,0
89803,2007-03,-0.0202,0.0184939937726955,-3.9903092605470074,0.4502496,13.677245441785638,0.7869815705918963,1,0,0
89803,2007-04,0.005,0.013926368780029,-4.2739712014086315,0.5424328,14.148129666526984,0.7837509714914859,1,0,0
89803,2007-05,0.0342,0.0151094278197078,-4.192436371071151,0.5424328,14.235176745060649,0.7855876315946347,1,0,0
89803,2007-06,-0.0355,0.0144261388999934,-4.238713516498833,0.5424328,14.181378088314611,0.8002407575221785,1,0,0
89803,2007-07,-0.131,0.0205287208269408,-3.8859303573965893,0.5329747,14.041020730619689,0.9056303535955984,1,0,0
89803,2007-08,0.0675,0.0252560870902575,-3.678688079432681,0.5329747,14.10645997682158,0.8650628594676816,1,0,0
89803,2007-09,-0.0596,0.0134389250107456,-4.3095999314055735,0.5329747,14.024352811481688,0.8489219238035609,1,0,0
89803,2007-10,-0.0209,0.0135006426412698,-4.30501799161372,0.61218655,14.003235888040765,0.8471285308835934,1,0,0
89803,2007-11,-0.2134,0.0360117021235227,-3.323911334359512,0.61218655,13.764282293041209,1.0537380100428209,1,0,0
89803,2007-12,-0.0439,0.0253882098729954,-3.6734703909502366,0.61218655,13.69057177717253,1.062006315481597,1,0,0
89803,2008-01,-0.1293,0.0316273068762994,-3.453734389889669,0.61450964,13.55206079055158,1.1216136190415444,1,0,0
89803,2008-02,0.0623,0.0292734604853413,-3.531073958913903,0.61450964,13.592992311106476,1.077794755647945,1,0,0
89803,2008-03,-0.1143,0.0247878491028313,-3.697401701409628,0.61450964,13.435326689171774,1.1160629599502965,1,0,0
89803,2008-04,0.0194,0.0167398713453889,-4.08996189941098,0.6165473,13.448575386016351,1.114390567230738,1,0,0
89803,2008-05,0.0604,0.0163378725133324,-4.114269399169633,0.6165473,13.507769114860558,1.126157051457322,1,0,0
89803,2008-06,-0.2134,0.0255464497457921,-3.6672569251852742,0.6165473,13.223339077795154,1.2523998888791903,1,0,0
89803,2008-07,-0.1407,0.0465388609483994,-3.067467596087359,0.62259495,13.071710467400608,1.2660461297889145,1,0,0
89803,2008-08,0.1436,0.0337835455089773,-3.3877814142891585,0.62259495,13.2060050165326,1.27676581419494,1,0,0
89803,2008-09,-0.0617,0.0565560507296375,-2.8725230842722977,0.62259495,13.09179488559779,1.1485379937927087,1,1,1
89803,2008-10,-0.6,0.130926548060308,-2.03311881486275,0.60934204,12.175504153723637,1.7428491500138377,1,1,1
89803,2008-11,-0.037,0.1630884786901868,-1.8134624113954043,0.60934204,11.882596749426217,1.5690239739034997,1,1,1
89803,2008-12,-0.2628,0.0760782819519598,-2.5759924431245906,0.60934204,11.577672870539928,1.4857276802821886,1,1,1
89803,2009-01,0.2348,0.0757447949937294,-2.580385549907569,0.64358234,11.719192200624,1.4806699964386103,1,1,1
89803,2009-02,-0.2958,0.0778403713927509,-2.5530950698831014,0.64358234,11.36853532901083,1.5608901597432243,1,1,1
89803,2009-03,0.54,0.1025611206203108,-2.277296359384381,0.64358234,11.712044156697395,1.823647339874882,1,1,1
89803,2009-04,0.961,0.0759895014594904,-2.577160086928749,0.6430358,12.364708395234963,2.399400647364506,1,1,1
89803,2009-05,0.3411,0.0720133582076598,-2.6309036465128246,0.6430358,12.865388961571217,2.441205942106942,1,1,1
89803,2009-06,-0.3062,0.0755806208779937,-2.582555366249422,0.6430358,12.49985656379842,2.4104415289082626,1,1,1
89953,2006-01,0.0914,0.0119964575976454,-4.423143872970508,0.42747992,13.340996708951348,0.4907205624415912,0,0,0
89953,2006-02,0.0216,0.0148207800508539,-4.2117250254889855,0.42747992,13.362326475757683,0.4861313810716934,0,0,0
89953,2006-03,0.0446,0.0166848389801779,-4.093254817399061,0.42747992,13.529510643224889,0.4993449663621503,0,0,0
89953,2006-04,0.0149,0.0149257866132204,-4.204664916688922,0.46819124,13.554649563020751,0.4984369496016117,0,0,0
89953,2006-05,-0.062,0.0129582098547867,-4.346025726087308,0.46819124,13.490627704255822,0.5656184205437248,0,0,0
89953,2006-06,0.1785,0.0135012240141756,-4.304974929931111,0.46819124,13.642177602383024,0.4668419432193924,0,0,0
89953,2006-07,-0.0518,0.0148284944846595,-4.211204646214919,0.48273665,13.588938636499384,0.51013869850309,0,0,0
89953,2006-08,0.0315,0.0125237937538168,-4.380124943729528,0.48273665,13.642301087725574,0.5133806829933156,0,0,0
89953,2006-09,0.0545,0.0153388802682663,-4.177364479953241,0.48273665,13.68216401682509,0.50980312828223,0,0,0
89953,2006-10,-0.0356,0.0161480164254372,-4.125958058811058,0.4846277,13.645925593324534,0.4570617696713183,0,0,0
89953,2006-11,0.026,0.0140851767468667,-4.262632329144199,0.4846277,13.6729176622193,0.4585388176306947,0,0,0
